AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,CommunityDistrict,CensusTract2010,NTA,CityCouncilDistrict,CongressionalDistrict,StateSenatorialDistrict,LicenseIssuedDate,LicenseExpiredDate
ZOEY,F,5/1/2014 0:00,"Schnauzer, Miniature",Brooklyn,11235,315,59402,BK17,48,9,19,4/18/2016,4/18/2017
OBI ,M,5/1/2010 0:00,Shih Tzu,Brooklyn,11214,313,306,BK26,47,11,22,10/7/2015,8/2/2016
NAME NOT PROVIDED,F,5/1/2015 0:00,Yorkshire Terrier,Brooklyn,11218,312,498,BK41,39,10,21,12/4/2015,12/4/2016
HUNTER,M,1/1/2009 0:00,Boston Terrier,Queens,11104,402,169,QN31,26,14,12,4/23/2015,2/23/2017
TYSON,M,3/1/2013 0:00,"Bull Dog, English",Brooklyn,11221,303,279,BK35,36,8,25,11/27/2014,10/30/2017
HARLEY,F,8/1/2012 0:00,American Pit Bull Mix / Pit Bull Mix,Bronx,10457,206,373,BX17,15,15,33,11/27/2015,11/8/2016
BELLA,F,10/1/2011 0:00,Chihuahua,Staten Island,10302,501,207,SI28,49,11,23,10/18/2016,9/20/2017
RUBY,F,4/1/2008 0:00,"Poodle, Standard",Bronx,10459,202,12701,BX27,17,15,32,11/24/2015,1/11/2017
CHANCE,M,2/1/2015 0:00,Beagle,Bronx,10475,212,46202,BX13,12,16,36,4/24/2015,4/24/2016
STAR,M,1/1/2006 0:00,Shiba Inu,Brooklyn,11226,317,824,BK95,40,9,21,5/4/2016,4/30/2017
LACEY ,F,1/1/2004 0:00,Maltese,Manhattan,10010,106,64,MN21,2,12,28,8/18/2016,7/30/2017
NELLIE ,F,11/1/2010 0:00,Bedlington Terrier,Manhattan,10025,107,191,MN12,6,10,31,6/19/2015,6/27/2016
WHEELS,M,12/1/2013 0:00,Unknown,Manhattan,10002,103,201,MN28,1,7,26,8/26/2015,8/15/2016
OSCAR ,M,10/1/2015 0:00,French Bulldog,Manhattan,10028,108,14802,MN40,4,12,28,12/8/2016,12/8/2017
OREO,F,11/1/2009 0:00,Yorkshire Terrier,Brooklyn,11214,311,292,BK27,47,11,23,8/25/2016,10/8/2017
UNKNOWN,F,4/1/2015 0:00,Morkie,Brooklyn,10002,NA,NULL,NULL,NA,NA,NA,7/7/2015,7/7/2016
REMY,M,11/1/2009 0:00,Yorkshire Terrier,Manhattan,10022,106,10601,MN19,5,12,28,2/13/2016,3/19/2017
PRINCESS,F,5/1/2016 0:00,Yorkshire Terrier,Queens,11385,405,577,QN19,30,6,12,7/1/2016,7/1/2017
HARLEY,M,8/1/2011 0:00,Maltese,Manhattan,10021,108,126,MN31,4,12,28,7/6/2016,3/28/2017
PENNY,F,10/1/2009 0:00,Beagle Crossbreed,Bronx,10469,211,310,BX31,13,14,34,1/3/2016,2/10/2017
IKER,M,2/1/2011 0:00,Unknown,Queens,11106,401,75,QN70,22,12,12,10/26/2015,11/4/2016
YODA,M,7/1/2007 0:00,Pomeranian,Manhattan,10029,111,168,MN33,8,13,30,2/17/2016,3/4/2016
CHARLIE,M,12/1/2012 0:00,Shih Tzu,Manhattan,10028,108,138,MN32,5,12,28,6/28/2016,8/27/2017
COTTON ,F,12/1/2006 0:00,Yorkshire Terrier,Staten Island,10302,NA,NULL,NULL,NA,NA,NA,5/1/2015,5/13/2016
LILLY,F,11/1/2015 0:00,Weimaraner,Queens,11357,407,1059,QN51,19,6,11,12/22/2015,12/22/2016
MAX,M,4/1/2010 0:00,Maltese,Queens,11379,405,621,QN21,30,6,15,9/21/2015,9/21/2016
ATTICUS,M,5/1/2011 0:00,Unknown,Manhattan,10025,NA,NULL,NULL,NA,NA,NA,6/15/2016,5/29/2017
RUBIA,F,11/1/2014 0:00,Chihuahua,Brooklyn,11219,312,112,BK34,39,10,17,5/2/2015,5/2/2016
SUNNY,M,9/1/2010 0:00,Labrador Retriever,Staten Island,10301,501,16901,SI07,49,11,24,3/14/2015,1/15/2017
MAXIMUS,M,2/1/2007 0:00,Pomeranian,Queens,11101,402,7,QN31,26,12,12,7/13/2016,8/13/2017
