"RowNumber","AnimalName","AnimalGender","AnimalBirthMonth","BreedName","Borough","ZipCode","CommunityDistrict","CensusTract2010","NTA","CityCouncilDistrict","CongressionalDistrict","StateSenatorialDistrict","LicenseIssuedDate","LicenseExpiredDate"
54873,"YOGI ","M","11/1/2003 0:00","Cocker Spaniel","BROOKLYN",11234,318,"652","BK45",46,8,22,"2/23/2016","3/30/2017"
95849,"MUMTAZ","F","5/1/2007 0:00","Yorkshire Terrier","Manhattan",10003,106,"50","MN21",2,12,28,"8/16/2016","8/23/2019"
54377,"DIDDY","M","2/1/2006 0:00","Yorkshire Terrier","Manhattan",10075,108,"132","MN31",5,12,28,"2/21/2016","2/21/2019"
73707,"BILLIE","F","3/1/2012 0:00","Unknown","Queens",11101,402,"7","QN31",26,12,12,"5/17/2016","7/9/2017"
109854,"HOWDY ","M","6/1/2009 0:00","Boston Terrier","Queens",11377,402,"245","QN63",26,14,12,"10/19/2016","11/24/2017"
71793,"TOODLES","F","2/1/2010 0:00","Unknown","Manhattan",10039,110,"236","MN03",9,13,30,"5/11/2016","5/11/2017"
42549,"TOULOUSE-LAUTRECLUCY","F","5/1/2012 0:00","Poodle, Standard","Brooklyn",11218,307,"504","BK40",39,9,21,"12/8/2015","12/21/2016"
36215,"MAX","M","1/1/2007 0:00","Unknown","Manhattan",10022,106,"98","MN19",4,12,28,"10/16/2015","10/4/2016"
351,"NIKKO","M","5/1/2010 0:00","Siberian Husky","Manhattan",10038,101,"1502","MN25",1,10,26,"10/9/2014","10/14/2016"
18089,"RUBY","F","4/1/2014 0:00","Poodle, Miniature","Brooklyn",11238,308,"215","BK64",35,9,20,"5/20/2015","5/20/2016"
53109,"BLUE","M","12/1/2015 0:00","Siberian Husky","Staten Island",10310,501,"13302","SI22",49,11,23,"2/15/2016","2/15/2017"
103644,"SNOOPY ","M","1/1/2004 0:00","Unknown","Queens",11373,404,"471","QN29",25,6,16,"9/20/2016","9/29/2017"
89324,"REX","M","1/1/2011 0:00","Rottweiler","Queens",11385,405,"577","QN19",30,6,12,"7/20/2016","8/29/2017"
29218,"LILY ","F","12/1/2005 0:00","Unknown","Staten Island",10309,503,"20803","SI32",51,11,24,"8/13/2015","8/30/2016"
105179,"ROSIE","F","8/1/2013 0:00","Pug","Queens",11357,407,"987","QN49",19,3,11,"9/27/2016","11/11/2017"
42429,"FRANKLIN","M","7/1/2015 0:00","French Bulldog","Manhattan",10011,104,"93","MN13",3,10,27,"12/8/2015","12/8/2016"
121970,"WALLY","M","8/1/2004 0:00","Unknown","Bronx",10463,208,"29301","BX29",11,16,34,"12/30/2016","10/17/2019"
97669,"NICO'S ","F","8/1/2004 0:00","Unknown","Queens",11385,405,"567","QN19",30,6,15,"8/23/2016","11/30/2017"
78874,"TYSON","M","2/1/2015 0:00","Rottweiler","Queens",11412,412,"508","QN07",27,5,14,"6/9/2016","8/7/2017"
64776,"SHORTY","M","1/1/2008 0:00","Bull Dog, French","Bronx",10472,209,"76","BX08",18,15,32,"4/11/2016","2/8/2017"
98180,"JDAY","M","5/1/2016 0:00","Yorkshire Terrier Crossbreed","Queens",11374,406,"69701","QN18",29,6,16,"8/27/2016","8/27/2017"
93422,"ANDY","M","2/1/2004 0:00","Terrier mix","Manhattan",10010,106,"66","MN20",2,12,27,"8/7/2016","7/22/2019"
36590,"LADYBIRD","F","4/1/2014 0:00","Collie, Smooth Coat","Manhattan",10026,110,"190","MN11",9,13,30,"10/18/2015","10/18/2016"
79965,"CHELSEA","F","6/1/2014 0:00","American Pit Bull Terrier/Pit Bull","Queens",11413,412,"376","QN08",27,5,14,"6/13/2016","6/13/2017"
90297,"MARTA","F","4/1/2001 0:00","Unknown","Manhattan",10014,102,"77","MN23",3,10,27,"7/24/2016","5/7/2017"
61290,"BODHI","M","12/1/2010 0:00","Unknown","Brooklyn",11201,302,"9","BK09",33,7,26,"3/26/2016","5/2/2017"
114641,"SCOTT","M","11/1/2007 0:00","Unknown","Bronx",10465,210,"162","BX52",13,14,34,"11/15/2016","9/25/2017"
35007,"FROGGY","M","1/1/2010 0:00","Labrador Retriever","Manhattan",10016,106,"78","MN20",4,12,28,"10/5/2015","8/18/2016"
35794,"UNKNOWN","M","6/1/2015 0:00","French Bulldog","Manhattan",10032,NA,"NULL","NULL",NA,NA,NA,"10/12/2015","10/12/2016"
